Composition,YS (MPa),radius,radius_diff,VEC,VEC_diff,Hmix,Smix,allen_en,allen_diff,ion,ion_diff,melting,melting_diff,GGA,GGA_diff,c11,c11_diff,delta
Al0.16Co0.2Cr0.2Fe0.2Ni0.2Ti0.04,968,1.2975999999999999,5.66,7.24,33.44,-13.89,14.21,1.7472800000000002,0.126,7.268696,9.77,1713.08,21.56,-1.1064,352.36,247.77600000000004,31.17,0.44
Al0.1724Co0.1724Cr0.1724Fe0.1724Ni0.1724Si0.1379,2179,1.29918,5.04,6.76,37.79,-25.23,14.87,1.7784056,0.113,7.360689430000001,10.38,1674.2979000000003,21.98,-1.1150179999999998,330.88,234.525162,33.92,0.59
Al0.175Co0.075Cr0.25Fe0.25Ni0.25,2033,1.294,5.13,7.2,33.48,-11.4,12.8,1.752775,0.106,7.2156400000000005,9.91,1711.9625,22.8,-0.8305,502.62,245.18875,31.52,0.49
Al0.1786Co0.1786Cr0.1786Fe0.1786Ni0.1786Si0.1071,1834,1.2987000000000002,5.13,6.86,37.11,-22.76,14.78,1.7738474000000002,0.112,7.333902070000001,10.4,1674.3276,22.37,-1.038542,359.39,237.03118800000004,33.7,0.56
Al0.1799Co0.3003Cr0.0999Fe0.0999Ni0.3201,1129.4,1.2853,5.44,7.84,32.4,-12.47,12.43,1.7891737,0.105,7.35438286,9.72,1644.76585,21.4,-0.08738400000000002,3653.68,247.36668500000002,30.06,0.42
Al0.17Cr0.17Fe0.33Ni0.33,796,1.2891000000000001,5.19,7.47,32.71,-11.23,11.09,1.76911,0.105,7.296732,9.69,1687.0149999999999,21.8,-1.2187000000000001,379.63,232.36649999999997,29.63,0.41
Al0.1802Cr0.1999Fe0.1999Ni0.42,610,1.2902299999999998,5.36,7.54,34.51,-12.87,10.95,1.7699175999999999,0.112,7.21957032,9.62,1680.3429,22.67,0.03885499999999997,10155.64,236.54176999999999,30.62,0.38
Al0.1818C0.0909Co0.1818Cr0.1818Fe0.1818Ni0.1818,1060,1.260783,10.27,6.91,36.74,-25.25,14.7,1.8279989999999997,0.248,7.60017627,17.89,1868.0858999999996,38.74,-1.2635099999999997,316.53,317.37735,75.56,0.14
Al0.1818Co0.1818Cr0.1818Fe0.1818Mo0.0909Ni0.1818,2757,1.304415,5.52,7.09,33.73,-11.44,14.7,1.7303723999999998,0.13,7.22131416,9.91,1783.5488999999998,28.87,-0.5981219999999997,622.88,265.35528,37.32,0.48
Al0.1818Co0.1818Cr0.1818Fe0.1818Nb0.0909Ni0.1818,2473,1.310778,6.24,7.0,34.99,-16.53,14.7,1.7249184,0.142,7.1909990100000005,10.11,1770.0047999999997,27.51,-0.9817199999999996,381.38,245.6118,31.21,0.38
Al0.1818Co0.1818Cr0.1818Fe0.1818Ni0.1818Ti0.0909,2260,1.311687,6.36,6.91,36.74,-17.91,14.7,1.7221913999999998,0.148,7.19729838,10.06,1696.5575999999996,22.71,-1.2026069999999995,326.66,237.96711,33.74,0.36
Al0.1818Co0.1818Cu0.1818Fe0.1818Ni0.2726,680,1.287144,5.33,8.36,32.37,-5.68,13.25,1.8040013999999998,0.094,7.44567354,9.35,1537.13718,21.07,-0.5790329999999999,648.38,214.57854,30.88,0.47
Al0.1818Cr0.1818Cu0.1818Fe0.1818Mn0.1818W0.0909,1510,1.331685,4.74,6.91,36.22,0.33,14.7,1.7085564,0.114,7.23647628,9.83,1742.57118,41.57,-1.3416839999999999,266.23,271.79918100000003,47.26,0.65
Al0.1818Cr0.2726Nb0.1818Ti0.1818V0.1818,1700,1.39077,5.09,4.73,22.25,-13.75,13.25,1.5285743999999999,0.109,6.62991876,4.6,1992.9825,28.23,-0.6990209999999999,417.3,227.98629,36.5,0.51
Al0.1818Nb0.1818Ti0.1818V0.1818Zr0.2726,1535,1.47258,6.07,4.18,17.12,-17.32,13.25,1.4385833999999997,0.108,6.593895089999999,4.47,1991.619,28.24,-1.9534409999999998,150.72,174.42801000000003,29.24,0.36
Al0.1852C0.0741Co0.1852Cr0.1852Fe0.1852Ni0.1852,1056,1.267527,9.59,6.96,36.37,-23.08,14.59,1.8151220000000001,0.23,7.53399823,16.95,1832.3525999999997,37.09,-1.1728099999999997,339.33,304.1469,72.67,0.16
Al0.1852Co0.1852Cr0.1852Fe0.1852Mo0.0741Ni0.1852,2670,1.3030950000000001,5.51,7.11,33.88,-11.61,14.59,1.7355386,0.127,7.2251568399999995,9.99,1763.4396,28.19,-0.6303979999999998,595.29,261.73947000000004,36.75,0.48
Al0.1852Co0.1852Cr0.1852Fe0.1852Ni0.1852Si0.0741,1481,1.297908,5.21,6.96,36.37,-19.84,14.59,1.7685871999999998,0.11,7.30365097,10.41,1674.0009,22.79,-0.9564379999999997,394.77,239.663598,33.44,0.54
Al0.186C0.0003Co0.2359Fe0.3419Ni0.2359,1202,1.284438,5.47,7.78,30.91,-11.01,11.34,1.7937492000000002,0.092,7.47992417,9.68,1617.1668,20.42,-2.0918719999999995,212.39,228.40738,29.38,0.38
Al0.1887C0.0566Co0.1887Cr0.1887Fe0.1887Ni0.1887,867,1.2742820000000001,8.8,7.02,35.92,-20.71,14.43,1.8013425000000003,0.209,7.46355548,15.82,1794.78185,34.99,-1.0781699999999999,366.97,290.314025,68.43,0.19
Al0.1887Co0.1887Cr0.1887Fe0.1887Mo0.0566Ni0.1887,2649,1.3014500000000002,5.49,7.13,34.04,-11.78,14.43,1.7405541000000002,0.122,7.22765234,10.08,1742.1438500000002,27.37,-0.6638580000000001,569.4,257.92184499999996,36.04,0.48
Al0.18Co0.3Cr0.0999Fe0.0999Mo0.0201Ni0.3,1250.8,1.288083,5.52,7.76,32.66,-12.46,13.05,1.780542,0.113,7.341614400000001,9.73,1667.7251999999999,23.56,-0.10640100000000008,2990.47,251.61879,31.92,0.43
Al0.18Co0.3Cr0.0999Fe0.0999Mo0.03Ni0.2901,1198.3,1.289568,5.56,7.72,32.77,-12.45,13.26,1.7764830000000003,0.117,7.336195140000001,9.74,1679.2488,24.48,-0.11620199999999992,2733.61,253.75323000000003,32.72,0.43
Al0.18Co0.3Cr0.1001Fe0.1001Mo0.0099Ni0.3099,1159.7,1.2866929999999999,5.48,7.8,32.53,-12.47,12.8,1.78485,0.109,7.34783962,9.73,1656.1222,22.52,-0.09831199999999984,3243.79,249.4584,31.02,0.43
Al0.1905Co0.1905Cr0.1905Fe0.1905Nb0.0476Ni0.1905,1959,1.303936,5.89,7.1,34.75,-14.66,14.34,1.7402775,0.127,7.21306114,10.23,1724.09935,26.03,-0.8819380000000001,431.3,245.61977499999998,31.95,0.41
Al0.1905Cr0.1905Fe0.1905Mo0.0952Ni0.1905Ti0.1429,618.8,1.3387060000000002,6.52,6.29,38.99,-18.62,14.68,1.6597874999999997,0.167,7.04095326,9.45,1808.1774499999997,29.29,-1.035086,403.36,242.73502499999998,43.1,0.35
Al0.1923C0.0385Co0.1923Cr0.1923Fe0.1923Ni0.1923,906,1.281139,7.9,7.08,35.46,-18.14,14.22,1.7869149,0.184,7.389974050000001,14.45,1755.75565,32.31,-0.980208,400.93,275.982325,62.07,0.23
Al0.1923Co0.1923Cr0.1923Fe0.1923Mo0.0385Ni0.1923,2456,1.2996189999999999,5.46,7.15,34.19,-11.95,14.22,1.7455659,0.118,7.2295099,10.17,1719.9506500000002,26.38,-0.698388,545.19,253.948775,35.17,0.48
Al0.1923Co0.1923Cr0.1923Fe0.1923Ni0.1923Si0.0385,1265,1.296924,5.31,7.08,35.46,-16.39,14.22,1.7627369,0.108,7.270292949999999,10.39,1673.4811499999998,23.23,-0.867788,440.18,242.478855,33.13,0.5
Al0.1961C0.0196Co0.1961Cr0.1961Fe0.1961Ni0.1961,957,1.2885639999999998,6.8,7.14,34.98,-15.35,13.92,1.7722087000000002,0.151,7.31461938,12.69,1715.34655,28.72,-0.8780740000000001,444.12,261.06737499999997,51.88,0.3
Al0.1961Co0.1961Cr0.1961Fe0.1961Mo0.0196Ni0.1961,1804,1.297972,5.44,7.18,34.31,-12.14,13.92,1.7511583000000002,0.112,7.23292854,10.26,1697.11855,25.18,-0.7346020000000001,522.21,249.85029500000002,34.09,0.47
Al0.1961Co0.1961Cr0.1961Fe0.1961Nb0.0196Ni0.1961,1641,1.2993439999999998,5.62,7.16,34.59,-13.32,13.92,1.7499823,0.115,7.22639194,10.31,1694.19815,24.76,-0.817314,469.87,245.59317500000003,32.42,0.44
Al0.1961Cr0.1961Cu0.1961Fe0.1961Mn0.1961W0.0196,1250,1.325818,4.63,6.98,37.05,-1.28,13.92,1.7276263,0.096,7.179651059999999,9.84,1590.94211,31.32,-1.307577,283.55,252.196829,44.31,0.65
Al0.1961Cr0.1961Fe0.1961Mo0.098Ni0.1961Ti0.1176,1314.5,1.334695,6.41,6.35,38.68,-17.62,14.61,1.6678703000000001,0.163,7.046504919999999,9.57,1804.31055,29.75,-0.902963,461.11,245.080305,42.94,0.36
Al0.198Cr0.198Cu0.198Fe0.198Mn0.198W0.0099,1120,1.3247190000000002,4.62,6.99,37.15,-1.51,13.71,1.7298270000000002,0.092,7.1702928,9.84,1569.9618,28.99,-1.3026419999999999,285.97,249.473961,43.69,0.64
Al0.1991Ca0.05Li0.2999Mg0.3499Si0.1001Y0.001,556,1.5418099999999997,8.66,2.1,44.93,-11.83,11.95,1.2916893999999999,0.326,6.612011160000001,16.21,900.382581,35.26,-0.18839399999999992,945.93,63.54410299999999,75.35,0.16
Al0.1Co0.2Cr0.2Fe0.2Ni0.2Ti0.1,1100,1.3,6.02,7.3,31.86,-15.52,14.53,1.7333000000000003,0.151,7.319240000000001,8.8,1773.0500000000002,17.77,-1.608,242.23,251.115,28.71,0.4
Al0.1Cr0.2Nb0.2Ti0.4V0.1,1240,1.4169999999999998,4.91,4.6,19.92,-10.96,12.23,1.4783,0.113,6.70947,3.63,2056.75,23.22,-2.3000000000000003,135.81,215.76500000000001,34.71,0.51
