Composition,YS (MPa)
Cr0.25Nb0.25Ti0.25Zr0.25,1260
Cr0.25Ta0.25V0.25W0.25,2327
Cr0.2778Fe0.2778Ni0.2778Ti0.1667,1923.15
Cr0.2857Fe0.2857Ni0.2857Ti0.1429,2380.79
Cr0.2941Fe0.2941Ni0.2941Ti0.1176,2475.41
Cr0.2Fe0.2Mo0.2Nb0.2Ti0.2,1647
Cr0.2Fe0.2Mo0.2Nb0.2V0.2,2663
Cr0.2Fe0.4Mn0.25Ni0.15,219
Cr0.2Mo0.1Nb0.2Ta0.1Ti0.2Zr0.2,1595
Cr0.2Nb0.2Ti0.2V0.2Zr0.2,1298
Cr0.303Fe0.303Ni0.303Ti0.0909,2364.63
Cr0.3125Fe0.3125Ni0.3125Ti0.0625,2297.94
Cr0.5003Nb0.1666Ti0.1666Zr0.1666,1576
Cu0.3077Mn0.3077Ni0.3077Zn0.0769,140
Cu0.3214Mn0.3214Ni0.3214Sn0.0357,630
Cu0.3275Mn0.3275Ni0.3275Sn0.0174,380
Cu0.3Mn0.3Ni0.3Zn0.0999,215
Fe0.2Mo0.2Nb0.2Ti0.2V0.2,1707
Hf0.0799Nb0.3073Ta0.3073Ti0.1776Zr0.1278,845
Hf0.0909Nb0.1818Ti0.3636V0.1818Zr0.1818,980
Hf0.0952Nb0.1429Ti0.381V0.1905Zr0.1905,1025
Hf0.102Mo0.102Nb0.2041Si0.1837Ti0.2041Zr0.2041,1650
Hf0.1053Nb0.0526Ti0.4211V0.2105Zr0.2105,1115
Hf0.1064Mo0.1064Nb0.2128Si0.1489Ti0.2128Zr0.2128,1550
Hf0.1111Mo0.1111Nb0.2222Si0.1111Ti0.2222Zr0.2222,1600
Hf0.1111Ti0.4444V0.2222Zr0.2222,1160
Hf0.1163Mo0.1163Nb0.2326Si0.0698Ti0.2326Zr0.2326,1370
Hf0.122Mo0.122Nb0.2439Si0.0244Ti0.2439Zr0.2439,1350
Hf0.1249Nb0.1249Ta0.1249Ti0.3751Zr0.2502,903
Hf0.125Mo0.125Nb0.25Ti0.25Zr0.25,1150
Hf0.125Nb0.125Ta0.125Ti0.375Zr0.25,903
Hf0.1429Mo0.1429Nb0.1429Ta0.1429Ti0.1429W0.1429Zr0.1429,1637
Hf0.1667Mo0.1667Nb0.1667Ta0.1667Ti0.1667Zr0.1667,1512
Hf0.1667Nb0.1667Ta0.1667Ti0.1667W0.1667Zr0.1667,1550
Hf0.1739Mo0.1304Nb0.1739Ta0.1739Ti0.1739Zr0.1739,1373
Hf0.1818Mo0.0909Nb0.1818Ta0.1818Ti0.1818Zr0.1818,1317
Hf0.1818Nb0.1818Si0.0909Ti0.1818V0.1818Zr0.1818,1483
Hf0.1905Mo0.0476Nb0.1905Ta0.1905Ti0.1905Zr0.1905,1112
Hf0.1Nb0.1Ti0.4V0.2Zr0.2,1065
Hf0.2128Mo0.1064Nb0.2128Si0.1489Ti0.2128V0.1064,2134
Hf0.2222Mo0.1111Nb0.2222Si0.1111Ti0.2222V0.1111,1787
Hf0.2222Nb0.2222Si0.1111Ti0.2222V0.2222,1399
Hf0.2326Mo0.1163Nb0.2326Si0.0698Ti0.2326V0.1163,1617
Hf0.25Mo0.125Nb0.25Ti0.25V0.125,1260
Hf0.25Nb0.25Ta0.25Ti0.25,834
Hf0.25Nb0.25Ta0.25Zr0.25,1315
Hf0.25Nb0.25Ti0.25Zr0.25,879
Hf0.25Sc0.25Ti0.25Zr0.25,1001
Hf0.25Ta0.25Ti0.25Zr0.25,1500
Hf0.25Ti0.25Y0.25Zr0.25,554
Hf0.2754Nb0.0497Ta0.0497Ti0.3499Zr0.2754,540
Hf0.2778Ta0.1667Ti0.2778Zr0.2778,800
Hf0.2857Ta0.1429Ti0.2857Zr0.2857,700
Hf0.2941Ta0.1176Ti0.2941Zr0.2941,400
Hf0.2Mo0.2Nb0.2Ta0.2Ti0.2,1369
Hf0.2Mo0.2Nb0.2Ta0.2Zr0.2,1524
Hf0.2Mo0.2Nb0.2Ti0.2Zr0.2,1803
Hf0.2Mo0.2Ta0.2Ti0.2Zr0.2,1600
Hf0.2Nb0.2Ta0.2Ti0.2Zr0.2,929
Hf0.2Sc0.2Ti0.2Y0.2Zr0.2,793
Hf0.3333Ti0.3333Zr0.3333,773
Mo0.0294Nb0.2941Ti0.2941V0.0882Zr0.2941,932
Mo0.0417Nb0.4167Ti0.4167V0.125,932
Mo0.0698Nb0.2326Ti0.2326V0.2326Zr0.2326,1289
Mo0.0833Nb0.2778Ti0.2778V0.0833Zr0.2778,1312
Mo0.1111Nb0.2222Ti0.2222V0.2222Zr0.2222,1473
Mo0.1316Nb0.2632Ti0.2632V0.0789Zr0.2632,1301
Mo0.1428Nb0.1428Ti0.1428V0.4288Zr0.1428,1418
Mo0.1489Nb0.2128Ti0.2128V0.2128Zr0.2128,1706
Mo0.1667Nb0.1667Ta0.1667Ti0.1667V0.1667W0.1667,1515
Mo0.1667Nb0.1667Ti0.1667V0.3333Zr0.1667,1538
Mo0.175Nb0.25Ti0.25V0.075Zr0.25,1436
Mo0.1818Nb0.1818Ti0.1818V0.2726Zr0.1818,1735
Mo0.2105Nb0.2105Si0.1579Ta0.2105W0.2105,2483
Mo0.2105Nb0.2105Ta0.2105Ti0.1579W0.2105,1304
Mo0.2105Nb0.2105Ti0.2105V0.1579Zr0.2105,1708
Mo0.2222Nb0.2222Si0.1111Ta0.2222W0.2222,1883
Mo0.2222Nb0.2222Ta0.2222Ti0.1111W0.2222,1211
Mo0.2222Nb0.2222Ti0.2222V0.1111Zr0.2222,1647
Mo0.2326Nb0.2326Ti0.2326V0.0698Zr0.2326,1455
Mo0.2353Nb0.2353Si0.0588Ta0.2353W0.2353,1826
Mo0.2353Nb0.2353Ta0.2353Ti0.0588W0.2353,1109
Mo0.2353Nb0.2353Ti0.2353V0.0588Zr0.2353,1776
Mo0.2453Nb0.1887Ti0.1887V0.1887Zr0.1887,1496
Mo0.25Nb0.25Ta0.25Ti0.25,1210
Mo0.25Nb0.25Ta0.25V0.25,1525
Mo0.25Nb0.25Ti0.25V0.25,1200
Mo0.25Nb0.25Ti0.25Zr0.25,1592
